"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF/C","Al Horford",6800,"BOS@PHI 10/20/2017 07:00PM ET",34.037,"BOS"
"C","Dwight Howard",6700,"ATL@CHA 10/20/2017 07:00PM ET",34.832,"CHA"
"PG/SG","Dennis Smith Jr.",6600,"SAC@DAL 10/20/2017 08:30PM ET",9.750,"DAL"
"C","Brook Lopez",6500,"LAL@PHO 10/20/2017 10:00PM ET",34.783,"LAL"
"PG","Isaiah Thomas",6500,"CLE@MIL 10/20/2017 07:00PM ET",42.704,"CLE"
"SG","Klay Thompson",6500,"GS@NO 10/20/2017 09:30PM ET",31.938,"GS"
"SG/SF","Khris Middleton",6400,"CLE@MIL 10/20/2017 07:00PM ET",28.358,"MIL"
"SF/PF","Andrew Wiggins",6300,"UTA@MIN 10/20/2017 08:00PM ET",34.081,"MIN"
"PF/C","Willie Cauley-Stein",6200,"SAC@DAL 10/20/2017 08:30PM ET",17.671,"SAC"
"PG/SG","Jrue Holiday",6100,"GS@NO 10/20/2017 09:30PM ET",34.945,"NO"
"SG/SF","Marcus Smart",6000,"BOS@PHI 10/20/2017 07:00PM ET",25.878,"BOS"
"SG","Jeremy Lin",5900,"ORL@BKN 10/20/2017 07:30PM ET",29.405,"BKN"
"SF/PF","Tobias Harris",5900,"DET@WAS 10/20/2017 07:00PM ET",27.587,"DET"
"PF/C","Julius Randle",5800,"LAL@PHO 10/20/2017 10:00PM ET",30.987,"LAL"
"SF/PF","Thaddeus Young",5800,"POR@IND 10/20/2017 07:00PM ET",24.968,"IND"
"PG","Darren Collison",5800,"POR@IND 10/20/2017 07:00PM ET",25.091,"IND"
"SF/PF","Jayson Tatum",5800,"BOS@PHI 10/20/2017 07:00PM ET",30.250,"BOS"
"SG/SF","Jeremy Lamb",5700,"ATL@CHA 10/20/2017 07:00PM ET",18.957,"CHA"
"SF/PF","Robert Covington",5700,"BOS@PHI 10/20/2017 07:00PM ET",29.467,"PHI"
"SF/PF","Harrison Barnes",5700,"SAC@DAL 10/20/2017 08:30PM ET",29.325,"DAL"
"PG","Jeff Teague",5600,"UTA@MIN 10/20/2017 08:00PM ET",34.701,"MIN"
"C","Marcin Gortat",5600,"DET@WAS 10/20/2017 07:00PM ET",28.346,"WAS"
